"MB_CODIGO";"MB_IMPLEMENTACAO"
9.858;"org argouml model core helper decorator add feature java lang object java lang object add feature object handle index object add feature handle index model notify memento creation observer dummy model memento"
9.859;"org argouml model core helper decorator add feature java lang object java lang object add feature object handle object add feature handle model notify memento creation observer dummy model memento"
9.860;"org argouml model core helper decorator add link java lang object java lang object add link object handle object link add link handle link model notify memento creation observer dummy model memento"
9.861;"org argouml model core helper decorator add method java lang object java lang object add method object handle object add method handle model notify memento creation observer dummy model memento"
9.862;"org argouml model core helper decorator add owned element java lang object java lang object add owned element object handle object add owned element handle model notify memento creation observer dummy model memento"
9.863;"org argouml model core helper decorator add parameter java lang object java lang object add parameter object handle index object parameter add parameter handle index parameter model notify memento creation observer dummy model memento"
9.864;"org argouml model core helper decorator add parameter java lang object java lang object add parameter object handle object parameter add parameter handle parameter model notify memento creation observer dummy model memento"
9.865;"org argouml model core helper decorator add raised signal java lang object java lang object add raised signal object handle object sig add raised signal handle sig model notify memento creation observer dummy model memento"
9.866;"org argouml model core helper decorator add source flow java lang object java lang object add source flow object handle object flow add source flow handle flow model notify memento creation observer dummy model memento"
9.867;"org argouml model core helper decorator add stereotype java lang object java lang object add stereotype object model element object stereotype add stereotype model element stereotype model notify memento creation observer dummy model memento"
9.868;"org argouml model core helper decorator add supplier java lang object java lang object add supplier object handle object element add supplier handle element model notify memento creation observer dummy model memento"
9.869;"org argouml model core helper decorator add supplier dependency java lang object java lang object add supplier dependency object supplier object dependency add supplier dependency supplier dependency model notify memento creation observer dummy model memento"
9.870;"org argouml model core helper decorator add tagged value java lang object java lang object add tagged value object handle object tagged value add tagged value handle tagged value model notify memento creation observer dummy model memento"
9.871;"org argouml model core helper decorator add target flow java lang object java lang object add target flow object handle object flow add target flow handle flow model notify memento creation observer dummy model memento"
9.872;"org argouml model core helper decorator stereotypes java lang object stereotypes object model element stereotypes model element model notify memento creation observer dummy model memento"
9.873;"org argouml model core helper decorator remove annotated element java lang object java lang object remove annotated element object handle object remove annotated element handle model notify memento creation observer dummy model memento"
9.874;"org argouml model core helper decorator remove client dependency java lang object java lang object remove client dependency object handle object dep remove client dependency handle dep model notify memento creation observer dummy model memento"
9.875;"org argouml model core helper decorator remove connection java lang object java lang object remove connection object handle object connection remove connection handle connection model notify memento creation observer dummy model memento"
9.876;"org argouml model core helper decorator remove constraint java lang object java lang object remove constraint object handle object cons remove constraint handle cons model notify memento creation observer dummy model memento"
9.877;"org argouml model core helper decorator remove deployment location java lang object java lang object remove deployment location object handle object node remove deployment location handle node model notify memento creation observer dummy model memento"
9.878;"org argouml model core helper decorator remove element residence java lang object java lang object remove element residence object handle object residence remove element residence handle residence model notify memento creation observer dummy model memento"
9.879;"org argouml model core helper decorator remove feature java lang object java lang object remove feature object cls object feature remove feature cls feature model notify memento creation observer dummy model memento"
9.880;"org argouml model core helper decorator remove owned element java lang object java lang object remove owned element object handle object value remove owned element handle value model notify memento creation observer dummy model memento"
9.881;"org argouml model core helper decorator remove parameter java lang object java lang object remove parameter object handle object parameter remove parameter handle parameter model notify memento creation observer dummy model memento"
9.882;"org argouml model core helper decorator remove source flow java lang object java lang object remove source flow object handle object flow remove source flow handle flow model notify memento creation observer dummy model memento"
9.883;"org argouml model core helper decorator remove stereotype java lang object java lang object remove stereotype object model element object stereotype remove stereotype model element stereotype model notify memento creation observer dummy model memento"
9.884;"org argouml model core helper decorator remove supplier dependency java lang object java lang object remove supplier dependency object supplier object dependency remove supplier dependency supplier dependency model notify memento creation observer dummy model memento"
9.885;"org argouml model core helper decorator remove tagged value java lang object java lang string remove tagged value object handle string name remove tagged value handle name model notify memento creation observer dummy model memento"
9.923;"java lang object clone object clone fig fig clone fig clone iterator fig clone figs iterator fig clone set port fig circle fig clone circle fig circle fig clone"
9.886;"org argouml model core helper decorator remove target flow java lang object java lang object remove target flow object handle object flow remove target flow handle flow model notify memento creation observer dummy model memento"
9.887;"org argouml model core helper decorator set annotated elements java lang object java util collection set annotated elements object handle collection elems set annotated elements handle elems model notify memento creation observer dummy model memento"
9.888;"org argouml model core helper decorator set association java lang object java lang object set association object handle object association set association handle association model notify memento creation observer dummy model memento"
9.889;"org argouml model core helper decorator set attributes java lang object java util collection set attributes object classifier collection attributes set attributes classifier attributes model notify memento creation observer dummy model memento"
9.890;"org argouml model core helper decorator set body java lang object java lang object set body object handle object expr set body handle expr model notify memento creation observer dummy model memento"
9.891;"org argouml model core helper decorator set child java lang object java lang object set child object handle object child set child handle child model notify memento creation observer dummy model memento"
9.892;"org argouml model core helper decorator set connections java lang object java util collection set connections object handle collection elems set connections handle elems model notify memento creation observer dummy model memento"
9.893;"org argouml model core helper decorator set container java lang object java lang object set container object handle object component set container handle component model notify memento creation observer dummy model memento"
9.894;"org argouml model core helper decorator set value java lang object java lang object set value object handle object expr set value handle expr model notify memento creation observer dummy model memento"
9.895;"org argouml model core helper decorator set discriminator java lang object java lang string set discriminator object handle string discriminator set discriminator handle discriminator model notify memento creation observer dummy model memento"
9.896;"org argouml model core helper decorator set enumeration literals java lang object java util list set enumeration literals object enumeration list literals set enumeration literals enumeration literals model notify memento creation observer dummy model memento"
9.897;"org argouml model core helper decorator set feature java lang object java lang object set feature object elem object feature set feature elem feature model notify memento creation observer dummy model memento"
9.898;"org argouml model core helper decorator set features java lang object java util collection set features object handle collection features set features handle features model notify memento creation observer dummy model memento"
9.899;"org argouml model core helper decorator set implementation location java lang object java lang object set implementation location object handle object component set implementation location handle component model notify memento creation observer dummy model memento"
9.900;"org argouml model core helper decorator set initial value java lang object java lang object set initial value object object expr set initial value expr model notify memento creation observer dummy model memento"
9.901;"org argouml model core helper decorator set model element container java lang object java lang object set model element container object handle object container set model element container handle container model notify memento creation observer dummy model memento"
9.902;"org argouml model core helper decorator set namespace java lang object java lang object set namespace object handle object set namespace handle model notify memento creation observer dummy model memento"
9.903;"org argouml model core helper decorator set operations java lang object java util collection set operations object classifier collection operations set operations classifier operations model notify memento creation observer dummy model memento"
9.904;"org argouml model core helper decorator set owner java lang object java lang object set owner object handle object owner set owner handle owner model notify memento creation observer dummy model memento"
9.905;"org argouml model core helper decorator set owner scope java lang object java lang object set owner scope object handle object set owner scope handle model notify memento creation observer dummy model memento"
9.906;"org argouml model core helper decorator set parameters java lang object java util collection set parameters object handle collection parameters set parameters handle parameters model notify memento creation observer dummy model memento"
9.907;"org argouml model core helper decorator set parent java lang object java lang object set parent object handle object parent set parent handle parent model notify memento creation observer dummy model memento"
9.908;"org argouml model core helper decorator set qualifiers java lang object java util collection set qualifiers object handle collection elems set qualifiers handle elems model notify memento creation observer dummy model memento"
9.909;"org argouml model core helper decorator set raised signals java lang object java util collection set raised signals object handle collection raised signals set raised signals handle raised signals model notify memento creation observer dummy model memento"
9.910;"org argouml model core helper decorator set resident java lang object java lang object set resident object handle object resident set resident handle resident model notify memento creation observer dummy model memento"
9.911;"org argouml model core helper decorator set residents java lang object java util collection set residents object handle collection residents set residents handle residents model notify memento creation observer dummy model memento"
9.912;"org argouml model core helper decorator set sources java lang object java util collection set sources object handle collection specifications set sources handle specifications model notify memento creation observer dummy model memento"
9.913;"org argouml model core helper decorator set specifications java lang object java util collection set specifications object handle collection specifications set specifications handle specifications model notify memento creation observer dummy model memento"
9.914;"org argouml model core helper decorator set tagged value java lang object java lang string java lang string set tagged value object handle string tag string value set tagged value handle tag value model notify memento creation observer dummy model memento"
9.915;"org argouml model core helper decorator set tagged values java lang object java util collection set tagged values object handle collection tagged values set tagged values handle tagged values model notify memento creation observer dummy model memento"
9.916;"org argouml model core helper decorator set type java lang object java lang object set type object handle object type set type handle type model notify memento creation observer dummy model memento"
9.917;"org argouml model core helper decorator set uuid java lang object java lang string set uuid object handle string uuid set uuid handle uuid model notify memento creation observer dummy model memento"
9.918;"constructor action set source path translator localize action set source path set tooltip string value action description translator localize action set source path"
9.919;"java awt event action listener action performed java awt event action event action performed action event action performed file directory object obj target manager instance target model facade model element obj model core helper set tagged value obj src path path"
9.920;"source path directory file directory object obj target manager instance target string name string type string path model facade model element obj name model facade name obj object model facade tagged value obj src path path model facade value tag model facade obj type model facade obj type model facade obj type file chooser chooser file path file path path length chooser file chooser path chooser chooser file chooser chooser set selected file string chooser title translator localize action set source path type chooser title type name chooser title name chooser set dialog title chooser title chooser set file selection mode file chooser directories retval chooser dialog project browser instance translator localize dialog button retval file chooser approve option chooser selected file"
9.921;"main constructor fig set editable color handle color globals prefs handle color fig circle port fig circle width height color black color white circle fig circle width height handle color color black port set line width circle set line width add fig port add fig circle set port port set blink ports port invisble unless mouse enters"
9.922;"constructor hooks fig uml element param ignored param node uml element fig graph model object node set owner node"
9.924;"org tigris gef presentation fig selection selection selection object pstate selection sel owner pstate owner model facade activity graph model facade machine model facade container pstate sel selection action selection action sel set outgoing button enabled sel selection selection sel set outgoing button enabled sel"
9.925;"fixed size org tigris gef presentation fig resizable resizable"
9.926;"org tigris gef presentation fig set line color java awt color set line color color col port set line color col"
9.927;"org tigris gef presentation fig line color color line color port line color"
9.928;"org tigris gef presentation fig set fill color java awt color set fill color color col circle set fill color col"
9.929;"org tigris gef presentation fig fill color color fill color circle fill color"
9.930;"org tigris gef presentation fig set filled set filled"
9.931;"org tigris gef presentation fig filled filled"
9.932;"org tigris gef presentation fig set line width set line width port set line width"
9.933;"org tigris gef presentation fig line width line width port line width"
9.934;"java awt event mouse listener mouse clicked java awt event mouse event mouse clicked mouse event"
9.935;"makes edges stick outer circle box org tigris gef presentation fig gravity list gravity vector ret vector port center port center radius port width max math max math cos max radius math sin max radius ret add ret"
9.936;"constructor param def code piece represent param seq sequence anonymous anonymous code piece code piece def seq def def seq"
9.937;"string representation piece code string buffer text def text"
9.938;"start position start position def start position"
9.939;"position position def position"
9.940;"start line start line def start line"
9.941;"line line def line"
9.942;"org argouml language java generator named code piece write java buffered reader java buffered writer java util stack write code piece represents file add level tree stacks write buffered reader reader buffered writer writer stack parse stack exception parse parse parse parse stack peek object parse classifier integer string parse stack push parse writer write def text string dispose code piece reader code piece reader model write original code code piece reader writer"
9.943;"constructor zargo file persister"
9.944;"org argouml persistence file persister extension string extension zargo"
9.945;"org argouml persistence file persister desc string desc translator localize combobox filefilter zargo"
9.946;"considered save individual xmis individuals diagrams easier modularize output argo param file file write param project project save save exception goes wrong org argouml persistence project file persister save org argouml kernel project java file save project project file file save exception file archive file file file absolute path file temp file temp file create temp file file file found exception save exception failed archive previous file version exception save exception failed archive previous file version buffered writer writer project set file file project set version argo version version project set persistence version persistence version zip output stream stream zip output stream file output stream file writer buffered writer output stream writer stream utf zip entry zip entry zip entry project base name file constants uncompressed file ext stream entry zip entry hashtable templates template reader instance read argo mini tee ocl expander expander ocl expander templates expander expand writer project writer flush stream close entry save objects xmi objects diagrams loop save xmi objects loop saving bob surely reloading load xmi diagrams collection names array list counter size project size size project project project project project type equals ignore xmi log info enabled log info saving project project zip name string name project zip name string original name name names contains name name counter original name names add name stream entry zip entry name file persister persister file persister project persister save project writer writer flush stream close entry size project project project project project type equals ignore xmi log info enabled log info saving type project project type stream entry zip entry project zip name file persister persister file persister project persister save project writer save raise exception name exists move name name correct backup file archive file exists archive file delete temp file exists archive file exists temp file rename archive file temp file exists temp file delete exception log error exception occured save attempt writer close exception frank exception delete name name name name exists rollback file file delete temp file rename file message user set system unsaved save exception writer close exception log error failed close save output writer"
9.967;"constructor fig message param figs fig message list figs figs"
10.052;"param pseudostate shallow history equals shallow history object"
9.947;"org argouml persistence project file persister load java file project load file file exception file combined file file create temp file combinedzargo uml log info combining style zargo sub files style uml file combined file absolute path combined file delete exit string encoding utf file output stream stream file output stream combined file print writer writer print writer buffered writer output stream writer stream encoding writer println xml version encoding encoding read argo file zip zip input stream zis string line buffered reader reader zis zip stream file url file constants project file ext reader buffered reader input stream reader zis encoding reading till hit argo tag string root line root line reader read line root line exception cant argo tag argo file root line starts argo version tag string version version root line writer println uml version version writer println root line line reader read line writer println line zis close reader close xmi zis zip stream file url xmi reader buffered reader input stream reader zis encoding skip lines reader read line reader writer reader writer zis close reader close loop round loading diagrams zis zip input stream file url stream sub input stream sub sub input stream zis zip entry current entry current entry sub entry current entry name pgml reader buffered reader input stream reader sub encoding skip lines xml version encoding utf doctype pgml system pgml dtd todo robust lines dont exist reader read line reader read line reader writer reader writer sub close reader close zis close alway load todo items model elements figs todo items refer exist creating critics zis zip stream file url todo reader buffered reader input stream reader zis encoding skip lines xml version encoding utf doctype todo system todo dtd todo robust lines dont exist reader read line reader read line reader writer reader writer zis close reader close writer println uml writer close log info complated combining files project load file combined file set url file url exception exception"
9.948;"reader writer reader reader writer writer exception reader read writer write log info stripping xmi"
9.949;"zip input stream file found extension param url url zip file param ext required extension zip stream positioned required location exception file zip input stream zip stream url url string ext exception zip input stream zis zip input stream url stream zip entry entry zis entry entry entry name ext entry zis entry zis"
9.950;"constructor param zip input stream sub input stream zip input stream"
9.951;"java input stream close close exception close entry"
9.952;"reads zip file entry positions stream beginning entry data zip entry read exception error occurred zip entry entry exception entry"
9.953;"constructor action add context signal"
9.954;"org argouml uml action add model element choices vector choices vector ret vector object model project manager manager current project model target ret add model model management helper behavioral features model ret"
9.955;"org argouml uml action add model element selected vector selected vector ret vector ret add model facade contexts target ret"
9.956;"org argouml uml action add model element dialog title string dialog title translator localize dialog title add contexts"
9.957;"org argouml uml action add model element java util vector vector selected model common behavior helper set contexts target selected"
9.958;"constructor action button value action name translator localize button"
9.959;"java awt event action listener action performed java awt event action event action performed action event object target target manager instance model target model facade classifier target object classifier target object model facade namespace classifier object peer model core factory build target manager instance set target peer action performed"
9.960;"main constructor fig association role questionable add path item messages path conv percent"
9.961;"constructor fig association role param edge owning uml element param lay layer fig association role object edge layer lay set layer lay set owner edge"
9.962;"create notation providers param own current owner init notation providers object own model facade association role own model facade association own object model facade connections own array object object notation provider src role notation provider factory instance notation provider notation provider factory type association name notation provider dest role notation provider factory instance notation provider notation provider factory type association name notation provider name notation provider factory instance notation provider notation provider factory type association role own"
9.963;"org argouml uml diagram fig association update listeners java lang object update listeners object owner object owner update listeners owner owner owner listen base object assoc model facade base owner assoc add element listener assoc"
9.964;"param message message added add message fig message message messages add fig message update path item locations messages damage"
9.965;"org argouml uml diagram fig edge model element text edit started org tigris gef presentation fig text text edit started fig text name fig help notation provider name parsing help"
9.966;"constructor fig message fig message"
9.968;"update fig positions collection figs figs figs iterator figs iterator figs empty fig message previous fig fig message fig fig message previous fig previous fig height fig set location fig trans previous fig fig"
9.969;"org tigris gef presentation fig calc bounds calc bounds calc bounds collection figs figs figs empty fig fig iterator figs iterator size figs size size fig fig fig fig size fig fig width fig width height"
9.970;"org tigris gef presentation fig add fig fig add fig fig add fig update fig positions calc bounds"
9.971;"constructor param node instance node instance handle text node instance notation object node instance model facade node instance node instance illegal argument exception node instance node instance node instance"
9.972;"determine attributes compartment visible attributes compartment visible attributes visible"
9.973;"set visibility attributes compartment param visible visibility status set attributes visible visible"
9.974;"bounds operations compartment rectangle attributes bounds"
9.975;"constructor uml text field param doc plain text document uml text field uml document doc doc set font look feel mgr instance font add caret listener action copy instance add caret listener action cut instance add caret listener action paste instance add focus listener action paste instance"
9.976;"java beans property change listener property change java beans property change event property change property change event evt uml document document property change evt"
9.977;"org argouml targetmanager targettable model view targettable model target listener targettable model uml document document"
9.978;"constructor param object uml object object notation uml object object object"
9.979;"org argouml notation notation provider parsing help string parsing help parsing help fig object"
9.980;"org argouml notation notation provider parse java lang string string parse string text string text trim length string strip trailing semi colons length substring length string name string bases string tokenizer base tokens index name substring index trim bases substring index trim base tokens string tokenizer bases name model common behavior helper set classifiers object vector base tokens base tokens elements string type string base tokens token object type classifier project manager manager current project type type string model common behavior helper add classifier object type updates diagram hence statement model core helper set name object name string"
9.981;"java lang object string string string string name str model facade name object name str model facade name object trim vector bases vector model facade classifiers object string base string model facade classifiers object model facade classifiers object size base string model facade name bases element bases size base string model facade name bases element name str length base string length base string base string trim base string length name str trim name str trim base string"
9.982;"constructor fig component cover fig rect color black color white upper rect fig rect color black color white lower rect fig rect color black color white name fig set line width name fig set filled name fig set text string add fig port add fig cover add fig stereotype fig add fig name fig add fig upper rect add fig lower rect"
9.983;"constructor hooks fig existing uml element param ignored param node uml element fig component graph model object node set owner node model facade classifier node model facade name node name fig set text model facade name node update bounds"
9.984;"org argouml uml diagram fig node model element string string string component"
9.985;"java lang object clone object clone fig component fig clone fig component clone iterator fig clone figs iterator fig clone set port fig rect fig clone cover fig rect fig clone set name fig fig text fig clone upper rect fig rect fig clone lower rect fig rect fig clone"
9.986;"org argouml uml diagram fig node model element model changed java beans property change event model changed property change event mee model changed mee mee association change event mee attribute change event rendering changed update listeners owner owner damage"
10.048;"provides formatted description event formatted information string string name event type event start range event range string"
10.797;"returns collaboration object collaboration"
9.987;"org argouml uml diagram fig node model element update listeners java lang object update listeners object owner object owner owner remove element listeners owner add listeners owner add element listener owner collection model facade stereotypes owner iterator iterator object add element listener name"
9.988;"build collection menu items relevant click popup menu param mouse event collection menu items org tigris gef popup generator pop actions java awt event mouse event vector pop actions mouse event vector pop actions pop actions modifiers pop actions insert element build modifier pop leaf root pop actions size popup add offset pop actions"
9.989;"param underline set underline name fig set underline"
9.990;"org tigris gef presentation fig set line color java awt color set line color color cover set line color stereotype fig set filled stereotype fig set line width name fig set filled name fig set line width upper rect set line color lower rect set line color"
9.991;"org tigris gef presentation fig selection selection selection selection component"
9.992;"org tigris gef presentation fig minimum size dimension minimum size dimension stereo dim stereotype fig minimum size dimension name dim name fig minimum size math max stereo dim height name dim height overlap math max stereo dim width name dim width dimension"
9.993;"org tigris gef presentation fig set bounds set bounds impl rectangle bounds bounds port set bounds cover set bounds dimension stereo dim stereotype fig minimum size dimension name dim name fig minimum size upper rect set bounds lower rect set bounds upper rect set bounds lower rect set bounds stereotype fig set bounds stereo dim height name fig set bounds stereo dim height overlap name dim height fire prop change bounds bounds bounds update edges"
9.994;"org tigris gef presentation fig set enclosing fig org tigris gef presentation fig set enclosing fig fig encloser object comp component owner encloser model facade node encloser owner model facade component encloser owner owner model facade node encloser owner object node node encloser owner model facade deployment locations comp contains node model core helper add deployment location comp node set enclosing fig encloser layer element figures list contents array list layer contents iterator contents iterator object fig edge model element fig edge model element figedge fig edge model element figedge layer bring front figedge encloser enclosing fig object encloser owner enclosing fig owner model facade node encloser owner model facade deployment locations comp contains encloser owner model core helper remove deployment location comp encloser owner set enclosing fig encloser"
9.995;"todo remove param figures set node vector figures size figures size figures size size object figures element fig component fig component figcomp fig component figcomp set enclosing fig"
9.996;"org tigris gef presentation fig trap rect trap rect"
9.997;"org argouml uml diagram fig node model element update stereotype text update stereotype text stereotype fig set owner owner"
9.998;"org argouml uml diagram fig node model element text edit started org tigris gef presentation fig text text edit started fig text name fig help parsing help fig component"
9.999;"org tigris gef presentation fig handle box rectangle corners dragging handles drawn selection resize rectangle handle box rectangle bounds rectangle width height"
10.000;"org tigris gef presentation fig set handle box set handle box set bounds"
10.001;"constructor navigate target action translator localize action navigate resource loader wrapper lookup icon action navigate set tooltip string value action description translator localize action navigate"
10.002;"java awt event action listener action performed java awt event action event action performed action event target manager instance navigate backward"
10.003;"action navigate forward target manager returns javax swing action enabled enabled target manager instance navigate"
10.004;"contructs figlink sets owner figlink param owner owner fig message object owner text fig text text add fig name fig text add fig stereotype fig add path item text path conv percent set owner owner"
10.005;"constructor saving loading purposes fig message"
10.049;"param source param destination copy tagged values object object"
10.006;"build collection menu items relevant click popup menu message param mouse event collection menu items org tigris gef popup generator pop actions java awt event mouse event vector pop actions mouse event vector pop actions pop actions menu item sequence diagram offered becauase check operation body exist expensive pop actions insert element action sequence diagram pop actions size popup add offset pop actions"
10.007;"returns action attached link action attached link isnt object action object owner owner owner model facade message owner model facade action owner"
10.008;"org tigris gef presentation fig edge source port fig fig source port fig fig result source port fig result fig classifier role temp fig owner result source fig classifier role create fig message port owner fig classifier role temp fig result set source port fig result result"
10.009;"org tigris gef presentation fig edge dest port fig fig dest port fig fig result dest port fig result fig classifier role temp fig owner result dest fig classifier role create fig message port owner fig classifier role temp fig result set dest port fig result result"
10.010;"computes route link fig message computes connectionpoints figlink ports depends action attached owner link fig message adds fig activations etc moves link fig classifier role org tigris gef presentation fig edge compute route compute route impl fig source fig source port fig fig dest fig dest port fig source fig fig message port dest fig fig message port fig message port src fig message port source fig fig message port dest fig message port dest fig start source fig connection dest center dest fig connection src center self message self message start source fig center start source fig width start set start time laid add middle num insert start sequence diagram layer object distance start otherwise move middle middle start sequence diagram layer object distance middle start middle middle set handle middle middle set start calc bounds layout edge"
10.011;"self message fig message port src fig message port source port fig fig message port dest fig message port dest port fig src node fig classifier role dest node fig classifier role"
10.012;"node source port fig message node source message node fig message port source port fig node"
10.013;"node destination port fig message node dest message node fig message port dest port fig node"
10.014;"returns message belonging link otherwise message object message owner"
10.015;"org tigris gef presentation fig edge poly layout edge layout edge source port fig fig message port dest port fig fig message port fig message port source port fig node fig message port dest port fig node sequence diagram layer layer update activations globals cur editor damage"
10.016;"org argouml uml diagram fig edge model element source object source object owner owner owner model facade sender owner"
10.017;"org argouml uml diagram fig edge model element destination object destination object owner owner owner model facade receiver owner"
10.018;"call superclass update text recalculate bounds org argouml uml diagram fig edge model element update name text update name text update name text text calc bounds"
10.019;"call superclass update text recalculate bounds org argouml uml diagram fig edge model element update stereotype text update stereotype text update stereotype text text calc bounds"
10.020;"source figobject fig classifier role source fig classifier role fig classifier role source fig node"
10.021;"destination fig object fig classifier role dest fig classifier role fig classifier role dest fig node"
10.022;"wont implementation org argouml uml diagram fig edge model element update classifiers update classifiers"
10.023;"org tigris gef presentation fig selection selection selection selection message"
10.024;"creates instance section section ary hash map ary"
10.025;"param string generate param indent current indentation generated string string generate string string indent"
10.050;"param pseudostate initial equals initial object"
10.051;"param pseudostate history equals deep history object"
10.026;"write todo check sections file comments file hint map compare keys param filename file name param indent current indentation param output lost sections lost sections written write string filename string indent output lost sections file reader file reader filename buffered reader buffered reader file writer file writer filename string line line read line line string section sect line section string content string ary section content write line line separator write content read section found discard generated content string section line read line line eof exception reached file looking section section section sect line section section equals section log error mismatch section section section section ary remove section write line line read line line write line separator ary empty output lost sections write lost code following line separator set map entries ary entry set iterator itr map entries iterator itr map entry entry map entry itr write indent section entry key begin line separator write string entry value write indent section entry key line separator write close close exception log error error string"
10.027;"param filename filename read read string filename file reader file reader filename buffered reader buffered reader string line string content section line line read line line section string section sect line section section ary section content content content line line separator string section sect line section section close exception log error error string"
10.028;"param line line section identifier string sect string line string begin section string begin string line index begin line index line index string begin length line substring"
10.029;"constructor param arg name test test action reception string arg arg"
10.030;"test set set exception set translator init"
10.031;"test icon action found test icon action reception action action reception action value action icon"
10.032;"set target param target target set set target object target"
10.033;"current target target object target"
10.034;"refreshes tab total refresh"
10.035;"returns tab enabled target param target target tab enabled enabled object target"
10.036;"constructor uml classifier feature list model uml operation list model feature"
10.037;"org argouml uml uml model element list model build model list build model list target set elements model facade operations target"
10.038;"org argouml uml uml model element list model valid element object valid element object base element model facade operations target contains element"
10.039;"org argouml uml uml model element list model swap swap index index object clss target list array list model facade operations clss object mem index object mem index list array list remove mem remove mem model core helper set operations clss set index mem set index mem model core helper set operations clss build model list"
10.040;"constructor prop panel create action create action lookup icon create action action add model element action action add create action instantiation uml mutable linked list list uml mutable linked list uml create action classifier list model action list set visible row count scroll pane instantiation scroll scroll pane list add field translator localize label instantiation instantiation scroll arguments scroll"
10.041;"constructor action action submachine value action name translator localize button submachinestate"
10.042;"java awt event action listener action performed java awt event action event action performed action event action performed model machines factory build submachine target"
10.043;"returns singleton action submachine instance singleton"
10.044;"constructor param event type param src sourc triggered event argo event object src src event type"
10.045;"event type event type event type"
10.046;"indicates start range events reserved events event start range event"
10.047;"indicates range notation events reserved events event range event start range argo event event start range"
10.055;"param pseudostate choice branch choice deprecated tfmorris uml choice equals branch object"
10.056;"param pseudostate choice branch choice equals choice object"
10.057;"param pseudostate junction equals junction object"
10.058;"converts multiplicity string param multiplicity multiplicity convert string representation multiplicity illegal argument exception multiplicity multiplicity string multiplicity string object multiplicity"
10.059;"sets body expression todo operation fooling user thinking body object changed instead object created expression altered created operation returns newly created object instead param handle expression modify param body body set newly created expression object set body object handle string body"
10.060;"body expression param handle expression body string string body object handle"
10.061;"sets language expression todo operation fooling user thinking body object changed instead object created expression altered created operation returns newly created object instead param handle expression param language language newly created object object set language object handle string language"
10.062;"language expression param handle expression language string string language object handle"
10.063;"constructor transition notation object transition model facade transition transition illegal argument exception transition transition transition"
10.064;"construct selection node instance fig param fig selection node instance fig"
10.065;"org tigris gef base selection hit handle java awt rectangle org tigris gef presentation handle hit handle rectangle handle hit handle index paint buttons editor globals cur editor selection manager selection manager size mode manager mode manager includes mode modify pressed button content content content width content height dep icon width dep icon height hit index instructions add component hit below index instructions add component hit left index instructions add component hit index instructions add component index instructions move object"
